nSites,smallestTotalDistanceBruteForce,elapsedTimeBruteForce,smallestTotalDistanceTSP,elapsedtimeTSP
3,0.8455796671638759,0.0,0.8455796671638759,0.0
4,1.222789903147238,0.0,1.222789903147238,0.25484418869018555
5,1.363534509826117,0.0,1.363534509826117,0.25962209701538086
6,1.550803730711981,0.0019986629486083984,1.550803730711981,0.2327888011932373
7,1.6718978525210852,0.012993812561035156,1.6718978525210852,0.7689871788024902
8,1.6718994482443161,0.1132969856262207,1.6718994482443161,0.6191129684448242
9,1.7033683029573272,1.3715670108795166,1.7033683029573272,0.8149693012237549
10,2.061407920599028,9.859081745147705,2.061407920599028,0.6458346843719482
11,2.5575584485289493,122.93096804618835,2.557558448528949,0.9394819736480713
12,2.557796387714255,1632.984299659729,2.557796387714255,4.279685020446777
